seg. ago. 17 17:13:48 2026 1786997628643 Debug: main.cpp int main(int, char **) "bike_resistance_start" QVariant(QString, "1")
seg. ago. 17 17:13:48 2026 1786997628644 Debug: main.cpp int main(int, char **) "bike_weight" QVariant(QString, "0")
seg. ago. 17 17:13:48 2026 1786997628645 Debug: main.cpp int main(int, char **) "bluetooth_30m_hangs" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628646 Debug: main.cpp int main(int, char **) "bluetooth_relaxed" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628647 Debug: main.cpp int main(int, char **) "cadence_gain" QVariant(QString, "1")
seg. ago. 17 17:13:48 2026 1786997628647 Debug: main.cpp int main(int, char **) "cadence_offset" QVariant(QString, "0")
seg. ago. 17 17:13:48 2026 1786997628648 Debug: main.cpp int main(int, char **) "cadence_sensor_as_bike" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628650 Debug: main.cpp int main(int, char **) "cadence_sensor_as_treadmill" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628651 Debug: main.cpp int main(int, char **) "cadence_sensor_name" QVariant(QString, "Disabled")
seg. ago. 17 17:13:48 2026 1786997628654 Debug: main.cpp int main(int, char **) "cadence_sensor_speed_ratio" QVariant(QString, "0.33")
seg. ago. 17 17:13:48 2026 1786997628654 Debug: main.cpp int main(int, char **) "calories_active_only" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628656 Debug: main.cpp int main(int, char **) "calories_from_hr" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628657 Debug: main.cpp int main(int, char **) "chart_display_mode" QVariant(QString, "0")
seg. ago. 17 17:13:48 2026 1786997628660 Debug: main.cpp int main(int, char **) "computrainer_serialport" QVariant(QString, "")
seg. ago. 17 17:13:48 2026 1786997628660 Debug: main.cpp int main(int, char **) "confirm_stop_workout" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628661 Debug: main.cpp int main(int, char **) "continuous_moving" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628664 Debug: main.cpp int main(int, char **) "crrGain" QVariant(QString, "0")
seg. ago. 17 17:13:48 2026 1786997628667 Debug: main.cpp int main(int, char **) "csafe_elliptical_port" QVariant(QString, "")
seg. ago. 17 17:13:48 2026 1786997628668 Debug: main.cpp int main(int, char **) "csafe_rower" QVariant(QString, "")
seg. ago. 17 17:13:48 2026 1786997628668 Debug: main.cpp int main(int, char **) "cscbike_custom_resistance_level_1" QVariant(QString, "1")
seg. ago. 17 17:13:48 2026 1786997628669 Debug: main.cpp int main(int, char **) "cscbike_custom_resistance_level_2" QVariant(QString, "15")
seg. ago. 17 17:13:48 2026 1786997628674 Debug: main.cpp int main(int, char **) "cscbike_custom_resistance_power_table" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628678 Debug: main.cpp int main(int, char **) "cscbike_custom_watt_1" QVariant(QString, "100")
seg. ago. 17 17:13:48 2026 1786997628679 Debug: main.cpp int main(int, char **) "cscbike_custom_watt_2" QVariant(QString, "300")
seg. ago. 17 17:13:48 2026 1786997628679 Debug: main.cpp int main(int, char **) "cwGain" QVariant(QString, "0")
seg. ago. 17 17:13:48 2026 1786997628680 Debug: main.cpp int main(int, char **) "cycplus_bc2_controller" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628681 Debug: main.cpp int main(int, char **) "dircon_id" QVariant(QString, "0")
seg. ago. 17 17:13:48 2026 1786997628682 Debug: main.cpp int main(int, char **) "dircon_server_base_port" QVariant(QString, "36866")
seg. ago. 17 17:13:48 2026 1786997628684 Debug: main.cpp int main(int, char **) "dircon_yes" QVariant(QString, "true")
seg. ago. 17 17:13:48 2026 1786997628685 Debug: main.cpp int main(int, char **) "dkn_endurun_treadmill" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628686 Debug: main.cpp int main(int, char **) "domyos_bike_500_profile_v1" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628687 Debug: main.cpp int main(int, char **) "domyos_bike_500_profile_v2" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628688 Debug: main.cpp int main(int, char **) "domyos_bike_cadence_filter" QVariant(QString, "0")
seg. ago. 17 17:13:48 2026 1786997628688 Debug: main.cpp int main(int, char **) "domyos_bike_display_calories" QVariant(QString, "true")
seg. ago. 17 17:13:48 2026 1786997628690 Debug: main.cpp int main(int, char **) "domyos_elliptical_fmts" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628692 Debug: main.cpp int main(int, char **) "domyos_elliptical_inclination" QVariant(QString, "true")
seg. ago. 17 17:13:48 2026 1786997628694 Debug: main.cpp int main(int, char **) "domyos_elliptical_speed_ratio" QVariant(QString, "1")
seg. ago. 17 17:13:48 2026 1786997628699 Debug: main.cpp int main(int, char **) "domyos_run100e" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628702 Debug: main.cpp int main(int, char **) "domyos_treadmill_button_10kmh" QVariant(QString, "10")
seg. ago. 17 17:13:48 2026 1786997628703 Debug: main.cpp int main(int, char **) "domyos_treadmill_button_16kmh" QVariant(QString, "16")
seg. ago. 17 17:13:48 2026 1786997628703 Debug: main.cpp int main(int, char **) "domyos_treadmill_button_22kmh" QVariant(QString, "22")
seg. ago. 17 17:13:48 2026 1786997628704 Debug: main.cpp int main(int, char **) "domyos_treadmill_button_5kmh" QVariant(QString, "5")
seg. ago. 17 17:13:48 2026 1786997628705 Debug: main.cpp int main(int, char **) "domyos_treadmill_buttons" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628706 Debug: main.cpp int main(int, char **) "domyos_treadmill_display_invert" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628707 Debug: main.cpp int main(int, char **) "domyos_treadmill_distance_display" QVariant(QString, "true")
seg. ago. 17 17:13:48 2026 1786997628708 Debug: main.cpp int main(int, char **) "domyos_treadmill_sync_start" QVariant(QString, "false")
