seg. ago. 3 19:32:36 2026 1785796356742 Debug: main.cpp int main(int, char **) "version " "2.21.6"
seg. ago. 3 19:32:36 2026 1785796356754 Debug: main.cpp int main(int, char **) "age" QVariant(QString, "34")
seg. ago. 3 19:32:36 2026 1785796356757 Debug: main.cpp int main(int, char **) "android_antbike" QVariant(QString, "false")
seg. ago. 3 19:32:36 2026 1785796356758 Debug: main.cpp int main(int, char **) "android_daemon_mode" QVariant(QString, "true")
seg. ago. 3 19:32:36 2026 1785796356759 Debug: main.cpp int main(int, char **) "android_documents_folder" QVariant(QString, "true")
seg. ago. 3 19:32:36 2026 1785796356760 Debug: main.cpp int main(int, char **) "android_notification" QVariant(QString, "false")
seg. ago. 3 19:32:36 2026 1785796356761 Debug: main.cpp int main(int, char **) "android_wakelock" QVariant(QString, "true")
seg. ago. 3 19:32:36 2026 1785796356763 Debug: main.cpp int main(int, char **) "ant_bike_device_number" QVariant(QString, "0")
seg. ago. 3 19:32:36 2026 1785796356764 Debug: main.cpp int main(int, char **) "ant_cadence" QVariant(QString, "false")
seg. ago. 3 19:32:36 2026 1785796356765 Debug: main.cpp int main(int, char **) "ant_garmin" QVariant(QString, "false")
seg. ago. 3 19:32:36 2026 1785796356766 Debug: main.cpp int main(int, char **) "ant_heart" QVariant(QString, "false")
seg. ago. 3 19:32:36 2026 1785796356772 Debug: main.cpp int main(int, char **) "ant_heart_device_number" QVariant(QString, "0")
seg. ago. 3 19:32:36 2026 1785796356773 Debug: main.cpp int main(int, char **) "ant_speed_gain" QVariant(QString, "1")
seg. ago. 3 19:32:36 2026 1785796356774 Debug: main.cpp int main(int, char **) "ant_speed_offset" QVariant(QString, "0")
seg. ago. 3 19:32:36 2026 1785796356775 Debug: main.cpp int main(int, char **) "antbike" QVariant(QString, "false")
seg. ago. 3 19:32:36 2026 1785796356776 Debug: main.cpp int main(int, char **) "app_language" QVariant(QString, "auto")
seg. ago. 3 19:32:36 2026 1785796356777 Debug: main.cpp int main(int, char **) "app_opening" QVariant(QString, "13")
seg. ago. 3 19:32:36 2026 1785796356778 Debug: main.cpp int main(int, char **) "applewatch_as_treadmill_speed" QVariant(QString, "false")
seg. ago. 3 19:32:36 2026 1785796356780 Debug: main.cpp int main(int, char **) "applewatch_fakedevice" QVariant(QString, "false")
seg. ago. 3 19:32:36 2026 1785796356781 Debug: main.cpp int main(int, char **) "asviva_bike" QVariant(QString, "false")
seg. ago. 3 19:32:36 2026 1785796356782 Debug: main.cpp int main(int, char **) "atletica_lightspeed_treadmill" QVariant(QString, "false")
seg. ago. 3 19:32:36 2026 1785796356783 Debug: main.cpp int main(int, char **) "autolap_distance" QVariant(QString, "0")
seg. ago. 3 19:32:36 2026 1785796356784 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_climb_gear_down_cadence" QVariant(QString, "65")
seg. ago. 3 19:32:36 2026 1785796356785 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_climb_gear_down_time" QVariant(QString, "2")
seg. ago. 3 19:32:36 2026 1785796356787 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_climb_gear_up_cadence" QVariant(QString, "95")
seg. ago. 3 19:32:36 2026 1785796356788 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_climb_gear_up_time" QVariant(QString, "2")
