seg. ago. 3 19:42:51 2026 1785796971570 Debug: main.cpp int main(int, char **) "version " "2.21.6"
seg. ago. 3 19:42:51 2026 1785796971572 Debug: main.cpp int main(int, char **) "age" QVariant(QString, "34")
seg. ago. 3 19:42:51 2026 1785796971573 Debug: main.cpp int main(int, char **) "android_antbike" QVariant(QString, "false")
seg. ago. 3 19:42:51 2026 1785796971574 Debug: main.cpp int main(int, char **) "android_daemon_mode" QVariant(QString, "true")
seg. ago. 3 19:42:51 2026 1785796971576 Debug: main.cpp int main(int, char **) "android_documents_folder" QVariant(QString, "true")
seg. ago. 3 19:42:51 2026 1785796971577 Debug: main.cpp int main(int, char **) "android_notification" QVariant(QString, "false")
seg. ago. 3 19:42:51 2026 1785796971578 Debug: main.cpp int main(int, char **) "android_wakelock" QVariant(QString, "true")
seg. ago. 3 19:42:51 2026 1785796971579 Debug: main.cpp int main(int, char **) "ant_bike_device_number" QVariant(QString, "0")
seg. ago. 3 19:42:51 2026 1785796971583 Debug: main.cpp int main(int, char **) "ant_cadence" QVariant(QString, "false")
seg. ago. 3 19:42:51 2026 1785796971584 Debug: main.cpp int main(int, char **) "ant_garmin" QVariant(QString, "false")
seg. ago. 3 19:42:51 2026 1785796971585 Debug: main.cpp int main(int, char **) "ant_heart" QVariant(QString, "false")
seg. ago. 3 19:42:51 2026 1785796971586 Debug: main.cpp int main(int, char **) "ant_heart_device_number" QVariant(QString, "0")
seg. ago. 3 19:42:51 2026 1785796971587 Debug: main.cpp int main(int, char **) "ant_speed_gain" QVariant(QString, "1")
seg. ago. 3 19:42:51 2026 1785796971588 Debug: main.cpp int main(int, char **) "ant_speed_offset" QVariant(QString, "0")
seg. ago. 3 19:42:51 2026 1785796971589 Debug: main.cpp int main(int, char **) "antbike" QVariant(QString, "false")
seg. ago. 3 19:42:51 2026 1785796971591 Debug: main.cpp int main(int, char **) "app_language" QVariant(QString, "auto")
seg. ago. 3 19:42:51 2026 1785796971592 Debug: main.cpp int main(int, char **) "app_opening" QVariant(QString, "16")
seg. ago. 3 19:42:51 2026 1785796971593 Debug: main.cpp int main(int, char **) "applewatch_as_treadmill_speed" QVariant(QString, "false")
seg. ago. 3 19:42:51 2026 1785796971594 Debug: main.cpp int main(int, char **) "applewatch_fakedevice" QVariant(QString, "false")
seg. ago. 3 19:42:51 2026 1785796971595 Debug: main.cpp int main(int, char **) "asviva_bike" QVariant(QString, "false")
seg. ago. 3 19:42:51 2026 1785796971596 Debug: main.cpp int main(int, char **) "atletica_lightspeed_treadmill" QVariant(QString, "false")
seg. ago. 3 19:42:51 2026 1785796971597 Debug: main.cpp int main(int, char **) "autolap_distance" QVariant(QString, "0")
seg. ago. 3 19:42:51 2026 1785796971598 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_climb_gear_down_cadence" QVariant(QString, "65")
seg. ago. 3 19:42:51 2026 1785796971600 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_climb_gear_down_time" QVariant(QString, "2")
seg. ago. 3 19:42:51 2026 1785796971601 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_climb_gear_up_cadence" QVariant(QString, "95")
seg. ago. 3 19:42:51 2026 1785796971602 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_climb_gear_up_time" QVariant(QString, "2")
seg. ago. 3 19:42:51 2026 1785796971603 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_enabled" QVariant(QString, "false")
seg. ago. 3 19:42:51 2026 1785796971604 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_gear_down_cadence" QVariant(QString, "65")
seg. ago. 3 19:42:51 2026 1785796971605 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_gear_down_time" QVariant(QString, "2")
seg. ago. 3 19:42:51 2026 1785796971606 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_gear_up_cadence" QVariant(QString, "95")
seg. ago. 3 19:42:51 2026 1785796971607 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_gear_up_time" QVariant(QString, "2")
seg. ago. 3 19:42:51 2026 1785796971608 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_profile" QVariant(QString, "0")
seg. ago. 3 19:42:51 2026 1785796971609 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_sprint_gear_down_cadence" QVariant(QString, "65")
seg. ago. 3 19:42:51 2026 1785796971610 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_sprint_gear_down_time" QVariant(QString, "2")
seg. ago. 3 19:42:51 2026 1785796971611 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_sprint_gear_up_cadence" QVariant(QString, "95")
seg. ago. 3 19:42:51 2026 1785796971612 Debug: main.cpp int main(int, char **) "automatic_virtual_shifting_sprint_gear_up_time" QVariant(QString, "2")
seg. ago. 3 19:42:51 2026 1785796971613 Debug: main.cpp int main(int, char **) "battery_service" QVariant(QString, "false")
seg. ago. 3 19:42:51 2026 1785796971614 Debug: main.cpp int main(int, char **) "bh_spada_2" QVariant(QString, "false")
seg. ago. 3 19:42:51 2026 1785796971616 Debug: main.cpp int main(int, char **) "bh_spada_2_watt" QVariant(QString, "false")
seg. ago. 3 19:42:51 2026 1785796971617 Debug: main.cpp int main(int, char **) "bike_cadence_sensor" QVariant(QString, "false")
seg. ago. 3 19:42:51 2026 1785796971618 Debug: main.cpp int main(int, char **) "bike_heartrate_service" QVariant(QString, "false")
seg. ago. 3 19:42:51 2026 1785796971619 Debug: main.cpp int main(int, char **) "bike_power_offset" QVariant(QString, "0")
seg. ago. 3 19:42:51 2026 1785796971620 Debug: main.cpp int main(int, char **) "bike_power_sensor" QVariant(QString, "false")
seg. ago. 3 19:42:51 2026 1785796971621 Debug: main.cpp int main(int, char **) "bike_resistance_gain_f" QVariant(QString, "1")
seg. ago. 3 19:42:51 2026 1785796971622 Debug: main.cpp int main(int, char **) "bike_resistance_offset" QVariant(QString, "17")
seg. ago. 3 19:42:51 2026 1785796971623 Debug: main.cpp int main(int, char **) "bike_resistance_start" QVariant(QString, "1")
seg. ago. 3 19:42:51 2026 1785796971624 Debug: main.cpp int main(int, char **) "bike_weight" QVariant(QString, "0")
seg. ago. 3 19:42:51 2026 1785796971625 Debug: main.cpp int main(int, char **) "bluetooth_30m_hangs" QVariant(QString, "false")
